text,fav
「Python」にバッファオーバーフローの脆弱性 ～サポート終了の「Python 2」にも影響／リモートからサービス拒否（DoS）や任意コード実行の可能性 https://t.co/rI2byV11EI https://t.co/woD8Rksdt1,33
#今日の積み上げ・Python Udemy講座：1時間 Python3 入門＋応用 非同期処理 asyncio続き・英会話：25分・アブローラー：2set・チューブトレーニング(肩)：5種類・ストレッチ,5
最後のレポとPython終わったら遊べるし要らん本も読める、マイクラも精神的に健康に遊べる！がんばろう！,7
今日の積み上げ・読書複業の思考法プログラミングリテラシー・Udemyのpython講座:酒井潤さん基礎の部分進めました・動画編集テロップ少し入れてみたやはり積み上げられた日は満足して寝れるぜ。おやすみなさいませ。,4
サーバー立てずGitHubだけでLINEbotを動かす【Python】 https://t.co/MUM5FVodLf #Qiita via @_rryyoo,1
sphinxを使ってみました。ドキュメントのような簡素なHTMLページを作るには便利そうhttps://t.co/9COa6atxum#Python #sphinx,0
"Python, 時折、I/OのTLEに殺されるのが辛い（しかも、CF Div2 Bくらいで出てきて普通につらい。",0
@python_octopus スタァライトも見覚えあるな……生命力補充のためにみてこよ,0
CとPython(主に機械学習)なら初歩的なことは動かせます,0
@kimushun1101 Pythonはほんとにこれがつらい  ほかにもデフォルト引数にオブジェクト作っちゃったりするといろいろな不具合のもとになりますhttps://t.co/ZTGxM2zlO3,28
Python自習で簡単な英単語ゲームを作りました。内容は一つの英単語を定義してinput == 英単語を比較して、正解か不正解かを判断するプログラムです。ただ、問題数を増やすために、for文やwhile文を使おうと色々考えたのですがうまくいきません。,1
今日の獲物カードは実は3枚だけどもの悲しいので持ってたのも追加(あれあおい持ってなかったっけ)とりあえずMOS高いのでちゃんと合格するために参考書ついでディープラーニング興味あるしpythonは軽く触ってるので出来るかなって興味から https://t.co/1lUfTxyXfT,0
本気で将来プログラミングで稼ぎたいなら、python、数学、統計学、機械学習を勉強するかな。なんで、みんなWeb系の言語を勉強したがるのか？絶対将来はAIの時代なのに～。,41
Python！Python環境整備中ラズベリーパイと古いネットPCとMacとデスクトップで動かす予定。常時動かしておくなら、ラズベリーパイが1番電気代安いかな。 ##Python勉強中,0
@KawaiiBOTz Source found on Pixiv!Similarity: 92.29%Title: うちの子まとめAuthor: ゆーねhttps://t.co/dSnjcmFokPSource found via SauceNAO Python API Wrapper @ https://t.co/Y1XKgwPaCt !,0
授業カリキュラムは、Python ですが、JavaScript 使える高校生の皆さんには、2019年に行った体験授業にちかいものを準備する予定です。 https://t.co/qKhCza5VrU,6
Pythonで動画を逆再生にするプログラムを紹介します MayuMega #プログラミング #Python #動画　#逆再生https://t.co/KuGrFttGwM,2
勉強すればするほど己の力不足を思い知って、今までの自分の怠慢がただただ恥ずかしいです。安定した日常を甘んじて受け入れるだけでなく、常に前へと進む姿勢でいなくては。とりあえずPythonとRegExとJSONとCの練習します…学ぶこといっぱいすぎて（割とガチで）泣きたい。,1
CSおわた。Pythonやる。,1
“MeCabをPythonで形態素解析 + FlaskでAPI” https://t.co/6La1XQPUSh,0
Pythonくっそおもろい,0
私の身につけたい言語はPythonです！　#パソナテック　#エンジニア,1
Streamlit みてて思ったけど、仮に Python じゃなくて JavaScript で機械学習とか数値計算とかする世界線だったとしても、そういったことをする人々がフロントのコードを直にかけるかという話はまた別 (多少は負荷下がるかもしれないが),3
Python解読しだってわがらないさぁ～🎶だってPython外の設定だったからさぁ～🎶そりゃ読んでも分からんさ～🎶ｵｩｵｩｵ～🎶,0
C++で誤差に苦しめられる→Pythonに移動→サンプル３のTLE消えない→PyPyに移動→C++に移動→Pythonに移動ｒｙをひたすらコンテスト中で繰り返して提出しまくってたので単に脳が壊れただけ説（コンテスト後の試行錯誤含め）,0
php書いたあとにpython書くと、；付けちゃう。あるあるなのかな… #駆け出しエンジニアと繋がりたい,23
世の中にはすごい人がいるなぁ、という。Mayaでpythonによるエクスプレッションを利用可能にするプラグインのようです。https://t.co/7UwcKekuib,0
pythonでtweepyを使いながらプログラミングするのが楽しくなってきた,0
面談終わりました。大学院進学100%になりました。・アクチュアリー・クオンツのどちらに進むかはもう少し検討します。上記の職を目指す場合はざっくりそれぞれ・アクチュアリーの勉強・Python＋CFA(or証券アナリスト)の勉強となります。興味の強さと将来性も加味しつつ、クオンツが最有力。,3
いよいよpythonを触る時が来てしまった(素人),4
Livedoorブログの記事更新をPythonとseleniumで自動化してみた結果 →めっちゃ簡単だった！！https://t.co/GgksSnY5vg,0
pythonノック3データ横結合Merge 使ってクリア！流れに乗ってきた！！できるようになると楽し！ https://t.co/Ab99ug6tnL,0
“Pythonが圧倒的な1位、2021年エンジニアが学びたいプログラミング言語 | https://t.co/hHIwRy0OCy” https://t.co/6HjiVOGWQ1,6
@python_octopus たこぱいそんさん、お返事ありがとうございます☕そうみたいですね～😊よく話題に上がっているのをお見掛けします✨景色を見ながらあの橋を渡るのも良いですね！また行かれましたら #つぶやこうべ を付けて教えて下さいね♪,0
この話のツボは，「他人の視野」を変えるのはすごく難しいってことなんだと思っている。変わるまで待つしかない。だから，自動化の本質が分かってない人に対して「Pythonで自動化しました！」と声高に叫ばない方がいい。https://t.co/7AW9xQMnns,5
@KawaiiBOTz Source found on Pixiv!Similarity: 93.32%Title: まとめAuthor: せんちゃhttps://t.co/KQQ3qZsGseSource found via SauceNAO Python API Wrapper @ https://t.co/Y1XKgwPaCt !,0
debianベースのpythonイメージでapt updateしようとしたら、yarnのgpgエラーで怒られたこのイメージ使ってる人は全員このエラーが起きてるのかと思ったけど、そういうわけではないのか？,0
@python_octopus 今日も含めて毎日カウントダウンしてるから大丈夫だと信じたい。なお、見に行く予定の映画館は未だに木曜日スケジュール調整中で真顔継続中。ここじゃないと県外なのだけど……,0
Python勉強している人をもう少しフォローしたい,1
Python、習得！！！！！！！！！！！！！！   #デイトラ #30DAYSトライアル,6
Pythonやったことないけど同じかな？,0
スクレイピングで画像を自動保存しよう！！Webスクレイピングによる画像保存を徹底解説！！[python] https://t.co/FOJ18AXCbx  #Python #プログラミング #プログラミング講座 #プログラミング解説 https://t.co/WPq8HlPSoM,0
@python_octopus プリンセス・プリンシパル公開日ですよ！,0
AtCoder Jobs から面談に応募してくれるとAtCoderのアカウントが分かるので事前にちょっと見てたりとかするんだけど、今日は｢自分競プロPythonでやってるんですけど｣って言われたのに対して｢そうでしたね｣って言ってしまって引かれてないか心配,98
python使えるようにならんといかんな。C派生系で動くようなアプリは大抵Pythonでラッピングしたお手軽APIセットも提供されてるもんなのね。業界の当たり前がまだ染み付いてねぇす。,0
尋常じゃないごちゃつきだpythonのasync　もう目を背けたい,0
@Python_3108 私は大阪市内在住ですが、一般車に限らずトラックにも多いですよ曲がるんかい！ってツッコミいれてます,0
いつおんチャンネルで新しい動画を公開しました。【Automatic Composition】初太-Hatta V4-No．861【アルゴリズム作曲】 https://t.co/iNwxmWu4J8#音楽 #Python #自動作曲 #プログラミング #Youtube,0
@tira_tirarin おそらくですが、基本情報技術者試験に出てくるものしかやらないんじゃないかなー。Python使い出してるのは基本情報と機械学習トレンドだからでしょうね,1
予想数字公開中!!AI言語Pythonにてプログラミング!!▲ロト6→毎週月・木▲ロト7→毎週金曜https://t.co/SH77B0jCBQ【お願い】#フォロー#固定リツイート【お返し】#フォローバック#固定リツイート#フォロバ100#相互,1
昨日、macOS上からanacondaを削除してPython環境がスッキリした。venvに切り替えた。,1
いまだに作りたいものや言語で悩んでいますが、一旦Pythonの勉強をすることにしました,2
ご飯とお風呂で意外と時間経ってしまいましたが今からPythonのデーター構造から勉強始めます,7
@kimuraan_python おもろwww,1
pythonって型の変換規則とか変更できたっけ,0
@QSfSlMS1H7UlxEn CいけるならPythonも苦労しないと思います個人的な感覚ですが、見直す程度でいけると思います,1
ブログ連続更新305日！！#ブログ #ブログ更新 #ブログ更新しました #ブログ更新のお知らせ #ブログ初心者  #プログラマー #機械学習 #スクレイピング #Python #プログラミング https://t.co/OMS4KHI61d,11
Matplotlibで箱ひげ図を表示する方法を解説【Python】 #Python #Python3 #数学 #プログラミングhttps://t.co/ri1imrP1fP,1
Pythonのリスト内包表記についてこれを使う利点は次の2点です。・コードの簡潔化・実行速度の改善リスト内包表記の書きかたを解説します。https://t.co/6Bpj0vn4vB#Python #リスト内包表記,0
@KawaiiBOTz Source found on Pixiv!Similarity: 96.1%Title: セーラー水着Author: 葉深https://t.co/0peAUKUH71Source found via SauceNAO Python API Wrapper @ https://t.co/Y1XKgwPaCt !,1
@python_lady 絶対領域、ナイスですね。,0
Python、Numpy、pandas、Matplotlib、scikit-learn、あたり。jupyter notebookかな、みたいな。,0
まずは、年収500万円環境。そーいう切り口ではない？ただ、ツールというか、使うものはPythonデータ分析エンジニアは決まっているので。,0
今日はPythonで生体解析ができるライブラリを試してみるンゴ,0
@k_can_python 依存関係訳わかんなくなっちゃうので、Vueのつらつらポイントですね....,1
今あるM1でPythonの記事は、それぞれ。使い勝手も。自分は、どれ、とかまだ、ない。,0
「退屈なことはpythonにやらせよう！」（for文ネスト追加ポチー。。。）,1
python、numpyで配列がユニタリ行列かお手軽に確認したりできるんだなこういうのはお家芸感あるな,1
Python使う時、homebrewはいる？,0
Lunch #numpy    問：    Numpyをnpという名前でimportせよ。     解：    import numpy as np    #Python    #プログラミング    #今日の積み上げ    #駆け出しエンジニアと繋がりたい,23
言語の市場価値についてここ1年で実感していること※私個人の体感となります。Java　↘（若干）Python　↗（強い）Go　↗（実は高単価）JavaScript　↗（安定して強い）TypeScript　↗（急上昇）#フリーランスエンジニア#駆け出しエンジニアと繋がりたい,23
@syu_kimitomo はうはうさん、はじめまして😊こちらこそフォローありがとうございます🥰同じくPython初心者です🔰初心者同士、コツコツ勉強がんばりましょー🐾,1
pythonでコード書く必要出てきたなぁアダアフィでより高収益出そうと色々やるけど、手出しすぎて自動化しないと時間足りないわ。作業は基本自分の手でしたい派だったけど、これからはプログラムに頼ることが増えそう,0
ところでpython コマンドの-mって何してるコマンド？後で調べるリストに追加。,1
Analytics＋Pythonで簡単な分析してみました。・1/31時点フォロワー：506(+470)・Imp・Engagementの約7割を2つのツイートで獲得（スケールおかしい…）プチバズリしたツイートはアドセンス合格とフォロワー200名報告。ほぼこれだけで稼いだようなもんですね。つづく https://t.co/1aMDqqxSV4,3
@kk1mm homebrew使えないとかPythonが上手く動かないとかあるらしい,0
"日本のツイートトレンドTOP10は['指定暴力団組織', '組の評判', 'サイコパス度テスト', '#SuperBowl', '#じゃがりこ新作ください', '#スーパーボウル', '日経平均', 'ブレイディ', 'チーフス', 'ハーフタイムショー']です #Python #Tweepy",0
前半の振り返り💠youtube風サイトアップロードいったん画像でアップロード箇所作成しました😗動画はうーん、データ重いから格納ではなくyoutubeの共有添付で展開できないかな🤔プラグインかなあ🔌#Python #NoCode #AWS #今日の積み上げ#駆け出しエンジニアと繋がりたい #プログラミング初心者 https://t.co/kDSi9qKKyG,46
【売れ筋ランキング（コンピュータ・IT書籍）】
グ超初心者が初心者になるためのPython入門（１）　セットアップ・文字列・数値編」 たっく (著)、ちょっぷ (著)
PECIAL 2020（手書きノート大特集! !）」 河…
q7x,0
Pythonを使ってJSONファイルを読み込む方法をまとめました🙌JSONは複雑に見えてしまうことも多いですが、実は単純です👍Pythonに興味のある方、エンジニア転職を視野に入れている方は必見です😌✨#駆け出しエンジニアと繋がりたい #プログラミング初心者https://t.co/loFQ2lGqTU,19
"むかし共同研究者に Python で for 文書いてるの見られて ""It is forbidden"" と言われたけど、禁を破ってしまったよ",14
誰か「(Python)カーネルを殺す」僕「(KFC)物騒だしもう亡くなってんだよなぁ」,1
ラズベリーパイより、2月8日12時0分の空模様と気温 -6.062℃ #raspberrypi #python #fswebcam #photo #北海道 #オホーツク #イマソラ https://t.co/8480394tPz,1
#駆け出しエンジニアと繋がりたい  #プログラミング #python  #プログラミング初心者  #プログラミング学習【Python】GMOコインでビットコインを自動取引するプログラムを作成してみたhttps://t.co/JbcmQDt4gB,7
＼ピックアップニュース／一般社団法人Pythonエンジニア育成推進協会伊豆田崇様のPython 3 エンジニア認定基礎試験合格体験記を公開しました。https://t.co/Fvt8iuzUU4#エンジニア,1
こんにちは。2月08日12時のPythonに関する記事は「17」件です。ピックアップ記事:”manimの作法 その46”https://t.co/Cptal6b5JM,0
2021-02-08 12:00:01仙台市現在の天候：所により曇り　　　気温：2℃#仙台の天気#プログラミング #Python#相互フォロー #フォロバ100 #followback,7
次回【AI】第1回 初学者向け ビジネスへのAI活用ワークショップ(オンライン)開催概要説明とPython体験2021/02/10(水)18:30 〜 20:30参加費：無料#AI #機械学習 #人工知能 #ディープラーニング #Python #プログラミング https://t.co/DCRu9ZiE9X,2
「Python 学習コース II」コースを修了しました！ https://t.co/alUpBCJTSU #Progate 午前中はここまで！午後は図書館行こうかな,14
お昼はきな粉餅野菜とタンパク質不足・・・なのでおやつに小魚食べました🐟#朝の積み上げ・FEテキスト5p・pythonの基礎復習夜はこちらつくるぞ✊🏻 https://t.co/e8s5Qt8RGv,4
職場、データ集計とかいちいち手打ちで腹立ってくるから、Pythonでスクレイピングしたりして自動抽出できないかなとかそんなことばっか考えてる。,0
@KawaiiBOTz Source found on Pixiv!Similarity: 95.17%Title: 新体操部の居残り練習Author: ささくまきょうた@桜花裁きhttps://t.co/UZPJZihjJnSource found via SauceNAO Python API Wrapper @ https://t.co/Y1XKgwPaCt !,2
@empty_415 Pythonやれ,0
Python なのに for ループで書いて使ってた拡散方程式、一個の計算に 50 時間かかるようになってしまったので、さすがに改修工事が必要そう。。。,12
プログラミングで作りやすいものとしてはExcelの自動化かwebアプリだと思うExcel自動化は役に立つものが作れるから実益もあるし成果が目に見えるからおすすめそういう意味でもPythonってすごいよなあ#プログラミング初心者 #Python,9
歴史どころか大学の研究でも現役でまともにfortranしか使ってないっていうね(*'ω'*)一応授業でCはやるけどね。最近はPython使うとこもちょこちょこ出てきてるね。#実用的なお仕事プログラミングは全部独学 https://t.co/UKxNGzO6UY,5
@Python_IOS_ 様、ご応募ありがとうございました！ 抽選結果は動画をチェック👀キャンペーン期間中の2/10(水)まで毎日応募できるよ🏝＃一番くじシン・エヴァンゲリオン劇場版商品詳細は👇https://t.co/zESNo6WOwY https://t.co/k15qoW9SrZ,0
【募集情報📣】100万人規模のSaaS開発から運用担える方募集！業務内容：SaaS型の経営分析ツールの開発および、運用#ハッシュミー #複数の本業を#リモート #リモートワーク #副業 #複業#エンジニア #Python #SaaS開発 https://t.co/Zh0BXLi0bW,0
Pythonのテストなんも分からん終わった笑笑笑笑笑笑基本情報よりむずい,2
Pythonについて知りたい方！学ぶ方法等について説明いたします。https://t.co/eFHVQMnFdS【転職有利】pythonを学ぶ方法/,0
色々やりたいことに興味があるのだが、どれから・どういう風に始めたら良いのやら。#動画編集　#Python #YouTube #教えて偉い人,2
valgrindのメモリリークチェックで、ログにでてくるHEAP SUMMARYが２つに分かれるものがあり、見落とすところだった。200以上のテスト項目があって、外部ライブラリに取り除けないメモリリークがあるので、Pythonでスクリプト書いて自動化して分かった。,0
Pythonができた！#Python#リネＭ https://t.co/tucAyj2V2J,4
"Python基本構文の備忘録コマンドライン引数の取得import syslist_arg = sys.argvprint(""1つ目の引数："" + list_arg[0])print(""2つ目の引数："" + list_arg[1])print(""3つ目の引数："" + list_arg[2])#Python #プログラミング",4
"【フォロワー1万達成報告あり】インスタインフルエンサーのフォロワーリスト1,000人獲得後、自動いいね。フォロワーを増やすツール【pythonコピペのみ】https://t.co/AWj2K5DMfh",1
Pythonのos.rmdirは空でないと動かない。中身ごと消すときはshutil.rmtree,0
Pythonやった事無いけど、なんとな〜くわかるでしょ！多分。。。（笑）,3
@KawaiiBOTz Source found on Pixiv!Similarity: 94.1%Title: ログAuthor: チナツhttps://t.co/eAzprHB5hcSource found via SauceNAO Python API Wrapper @ https://t.co/Y1XKgwPaCt !,1
計測してみた。powは、めっちゃ遅い？🤔 #Python https://t.co/WCrnwngOTe,3
今日の夜、APEXの大会等のスコア集計部分自動化出来ないか、PythonかトラッカーAPI使えるか見てみます。時間があれば。,1
@moritanuki_ はじめまして😄フォロバありがとうございます！Pythonの勉強始めたばかりの初心者ですがよろしくお願いします😊,2
私の身につけたい言語はPythonです！　#パソナテック　#エンジニア,0
🕊AWS触ってみて思ったメモwebサイトをサーバレスで公開。CDNって早い！常時SSL化は勝手になった！要確認！お問い合わせフォームをSlackで通知。PHP使えないからの策だけど難しすぎた。Python便利キャッシュが残ればめっちゃ早いホームページを格安で作れた！ただ、難しすぎた！復習しよ〜,2
#プログラミング独学 #プログラミング初心者 #プログラミング初心者と繋がりたい #プログラミング勉強中 Pythonを使って流行りの非接触体温計を作成しました。お値段は・・・https://t.co/jLkOxRNzb9,1
ん？！なんで最後のケースだけ失敗するんだ…(´･ω･｀)#Python #paiza 俺の嫁（またの名を「妻」とも言う）を紹介します！『POH7「プログラミングで彼女をつくる」』 https://t.co/IFJ6L8gseE #_poh,1
「Pythonによるあたらしいデータ分析の教科書」の2周目を順調に進めています。第２章、「Pythonと環境」を始めます。#データサイエンス #Pythonによるあたらしいデータ分析の教科書,0
おっPython,1
●読書●プログラミング Python PyQ 50minpytestの続き。#今日の積み上げ 昨日(2/7)分,9
pythonの文字コード繊細芸、マジで死ねと思う,0
明日終わったら、Pythonと回路系とCをしっかりしよう。数学も。,0
勉強自体に目的がないから、その時間を計測してアプリでゲーム化するというのは、少し悲しい気持ちになりました。以前、画像識別AIをPythonで作った際、行列計算のありがたみが分かった時、「数学がこんなに役に立つ... #NewsPicks https://t.co/SJLdHHfPbX,1
【Pythonで不動産データ分析！】SUUMOをスクレイピングして情報収集！理想の賃貸物件を探してみた！#データ分析 #データサイエンス #Python https://t.co/uDFtu52WHP,1
pythonをまたぼちぼち再開したんだけど、とりあえず土日とかに銘柄分析しやすいように最新日までの株価に関する情報取得を無料でできるよう試行錯誤してる,0
#今日の積み上げ 209日目 ・Pythonでの業務自動化(Excel)・WP案件対応・Kindleで読書おはようございます☀️久しぶりに案件受注できましたのでPythonで本業の時間削減しつつ、副業にいそしんでいきます😌,12
【paizaラーニング】Python入門編7: 関数を理解しよう (全 7 回)を修了しました！ https://t.co/lABAwwvZSD #paiza,1
データベースの操作について、基礎的な動作を試してみました。PythonでSQLiteを操作（DB作成、挿入、検索、削除） - Student Number i03124 https://t.co/sRSwL1nVuj #はてなブログ #プログラミング初心者と繋がりたい #プログラミング初心者とつながりたい #Python初心者,5
@shupei_python ありがとうございます！！,1
最近pythonとphpを同時に触るから、言語の違いで初心者じみたところでハマるのキツイ…くそぉってなる,0
プログラミングは、一ミリも理解できない事柄なのですが、最近『PythonでExcel、メール、Webを自動化する本』著：中嶋英勝みたいな《Python》という種類の書籍がやたらと入荷するのですが、何か流行してるのですかね。 https://t.co/Kw9UgozrVT,2
競プロ、C++で実装してるけど、デバッグのしやすいPythonの方が時間制限ある場合有利なきがするな。,0
気づいた。Pythonよりc++が簡単な訳じゃないわ。c++を教わった速度より、Pythonを教わった速度が速すぎてついていけてないだけだわ。そりゃPythonムズいわ。だって理解する前によくわからない領域まで発展するんだもん😭,2
Pythonで書かれた1000行以上のコードを保守するのは人権侵害ですよ,0
Pythonが圧倒的すぎる。。。https://t.co/gSLeCqfMkU,1
[python] Dataframeから複数条件で行を抽出する - https://t.co/odLcmwOQlx,7
Pythonにてファイル名を検索してヒットしたもののpathを知りたい https://t.co/DuaOXYy4gj,1
PythonのシェルでxonshがあるならVim scriptのシェルがあってもいいよなぁ？,3
このツイートは、Pythonを使って自動ツイートにしています。テキストファイルにツイート内容を書き込んで、Pythonで少し設定すれば、定期的に配信してくれます。,0
『ひと目でわかる　プログラミングのしくみとはたらき図鑑』ですが、2月7日付『読売新聞』1面にカラー広告を掲載して以降、ご注文多数です。Scratch、Python、Web（HTML、JavaScript）の３タイプの言語を取り上げ、イラストや図を用いて解説した案内書（A）（商品ページ）https://t.co/igbgjQJrxp https://t.co/MBxWZSjFyw,13
Pythonデータ分析エンジニアは、今後必要な人材になるので、教育の仕方も同時進行で吸収していきたいです。,1
第1回 Python 3 データ分析 模擬試験 を受験いただきありがとうございました。あなたのスコアは 92.5 点 / 100点満点です。ギャフン‼️😖また、正誤の読解で1問落とした‼️1問は2.5%。,0
@Python_regius01 私も同じこと返信したwww,0
用事終わり。学習開始、14:30までの予定だけどお腹空いたらお粥食べに行くだ。🍚今日こそ、本当に今日こそ5章のプログラム理解して6章にススムむ。まずはいつもの学習、これを1時間でおわらせ、Python。,1
"日本のツイートトレンドTOP10は['指定暴力団組織', '組の評判', '#SuperBowl', 'サイコパス度テスト', '#スーパーボウル', 'ハーフタイムショー', '#じゃがりこ新作ください', '日経平均', 'ブレイディ', '#SBLV']です #Python #Tweepy",0
(2/8 0時) Amazon NGO・NPOランキング 6位 天田士郎著『Pythonの文法は覚えたけど「じゃあこれで何ができるんだ？」と思っている人のための本』https://t.co/WrroEnxJwc,1
【日本語以外に使用可能な言語を教えてください。】C言語とPythonを少し、、、,2
@shin_t_o_ パラメータを構造体（Pythonだったらクラス）にする、ですかね…？OpenCVとかはそうなってる気がしました,0
【自動ニュース】リックス(7525):「業績予想及び配当予想の修正に関するお知らせ」で業績予想の上方修正を発表#株初心者 #株式投資 #プログラミング #投資初心者 #Pythonhttps://t.co/mwRMVE4Jny,2
【自動ニュース】前田建(1824):「業績予想及び配当予想の修正に関するお知らせ」で業績予想の上方修正を発表#株初心者 #株式投資 #プログラミング #投資初心者 #Pythonhttps://t.co/7MLA6H8BaJ,1
